episode,day,actions,allocation_weights,portfolio_return,reward,new_portfolio_value
1,681,"0.00, 1.00","0.27, 0.73",-0.23%,559168.01,"559,168"
1,682,"0.00, 0.00","0.50, 0.50",-0.16%,558291.57,"558,292"
1,683,"0.47, 0.00","0.61, 0.39",-0.12%,557614.67,"557,615"
1,684,"0.11, 0.00","0.53, 0.47",-0.15%,556782.77,"556,783"
1,685,"0.37, 0.87","0.38, 0.62",-0.20%,555688.23,"555,688"
1,686,"0.44, 0.00","0.61, 0.39",-0.12%,554995.79,"554,996"
1,687,"0.12, 0.00","0.53, 0.47",-0.15%,554166.85,"554,167"
1,688,"0.00, 0.32","0.42, 0.58",-0.19%,553139.38,"553,139"
1,689,"0.46, 1.00","0.37, 0.63",-0.20%,552020.98,"552,021"
1,690,"0.29, 0.00","0.57, 0.43",-0.14%,551261.88,"551,262"
1,691,"0.00, 0.00","0.50, 0.50",-0.16%,550372.75,"550,373"
1,692,"1.00, 1.00","0.50, 0.50",-0.16%,549482.18,"549,482"
1,693,"0.00, 0.00","0.50, 0.50",-0.16%,548590.16,"548,590"
1,694,"0.00, 0.00","0.50, 0.50",-0.16%,547696.69,"547,697"
1,695,"0.00, 1.00","0.27, 0.73",-0.24%,546388.20,"546,388"
1,696,"0.00, 0.00","0.50, 0.50",-0.16%,545492.48,"545,492"
1,697,"0.00, 1.00","0.27, 0.73",-0.24%,544180.68,"544,181"
1,698,"0.00, 0.00","0.50, 0.50",-0.17%,543282.70,"543,283"
1,699,"0.75, 0.80","0.49, 0.51",-0.17%,542360.81,"542,361"
1,700,"0.02, 0.27","0.44, 0.56",-0.19%,541349.41,"541,349"
1,701,"1.00, 0.50","0.62, 0.38",-0.13%,540668.95,"540,669"
1,702,"1.00, 0.00","0.73, 0.27",-0.09%,540182.64,"540,183"
1,703,"0.00, 1.00","0.27, 0.73",-0.25%,538857.45,"538,857"
1,704,"0.44, 0.00","0.61, 0.39",-0.13%,538144.65,"538,145"
1,705,"0.69, 1.00","0.42, 0.58",-0.19%,537097.48,"537,097"
1,706,"0.59, 0.00","0.64, 0.36",-0.12%,536447.88,"536,448"
1,707,"0.00, 0.92","0.28, 0.72",-0.24%,535143.16,"535,143"
1,708,"0.78, 0.02","0.68, 0.32",-0.11%,534559.80,"534,560"
1,709,"0.00, 0.00","0.50, 0.50",-0.17%,533644.46,"533,644"
1,710,"0.00, 0.00","0.50, 0.50",-0.17%,532727.55,"532,728"
1,711,"1.00, 0.00","0.73, 0.27",-0.09%,532233.50,"532,234"
1,712,"0.00, 0.38","0.41, 0.59",-0.21%,531139.54,"531,140"
1,713,"0.00, 0.00","0.50, 0.50",-0.17%,530217.43,"530,217"
1,714,"0.00, 1.00","0.27, 0.73",-0.25%,528866.83,"528,867"
1,715,"0.00, 0.95","0.28, 0.72",-0.25%,527534.58,"527,535"
1,716,"1.00, 0.13","0.71, 0.29",-0.10%,526989.93,"526,990"
1,717,"1.00, 0.50","0.62, 0.38",-0.13%,526288.98,"526,289"
1,718,"0.77, 0.00","0.68, 0.32",-0.11%,525698.98,"525,699"
1,719,"0.00, 0.00","0.50, 0.50",-0.18%,524766.89,"524,767"
1,720,"0.84, 1.00","0.46, 0.54",-0.19%,523758.42,"523,758"
1,721,"0.25, 0.00","0.56, 0.44",-0.16%,522937.62,"522,938"
1,722,"1.00, 0.00","0.73, 0.27",-0.10%,522433.54,"522,434"
1,723,"0.05, 0.99","0.28, 0.72",-0.26%,521081.72,"521,082"
1,724,"0.15, 0.13","0.51, 0.49",-0.18%,520151.17,"520,151"
1,725,"0.00, 0.08","0.48, 0.52",-0.19%,519171.61,"519,172"
1,726,"1.00, 0.26","0.68, 0.32",-0.12%,518562.66,"518,563"
1,727,"0.00, 0.00","0.50, 0.50",-0.18%,517616.38,"517,616"
1,728,"0.29, 0.68","0.40, 0.60",-0.22%,516482.93,"516,483"
1,729,"0.00, 1.00","0.27, 0.73",-0.27%,515094.78,"515,095"
1,730,"0.91, 0.00","0.71, 0.29",-0.11%,514549.57,"514,550"
1,731,"0.93, 1.00","0.48, 0.52",-0.19%,513561.07,"513,561"
1,732,"1.00, 0.00","0.73, 0.27",-0.10%,513047.62,"513,048"
1,733,"1.00, 0.23","0.68, 0.32",-0.12%,512441.20,"512,441"
1,734,"0.00, 0.00","0.50, 0.50",-0.19%,511481.58,"511,482"
