agent,generator,run_id,step,cumulative_reward
Always Up Agent,Ornstein-Uhlenbeck Generator,003,11,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,12,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,13,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,14,-8.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,15,-7.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,16,-8.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,17,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,18,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,19,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,20,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,21,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,22,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,23,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,24,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,25,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,26,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,27,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,28,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,29,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,30,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,31,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,32,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,33,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,34,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,35,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,36,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,37,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,38,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,39,-13.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,40,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,41,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,42,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,43,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,44,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,45,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,46,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,47,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,48,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,49,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,50,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,51,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,52,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,53,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,54,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,55,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,56,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,57,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,58,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,59,-9.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,60,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,61,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,62,-10.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,63,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,64,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,65,-11.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,66,-12.0
Always Up Agent,Ornstein-Uhlenbeck Generator,003,67,-11.0
